timestamp;c;h;l;o
2020-01-01T00:00:00Z;129.272563239;129.539015589;129.242671556;129.539015589
2020-01-01T01:00:00Z;130.318093387;130.653947173;129.246401248;129.246401248
2020-01-01T02:00:00Z;130.748116528;130.830766857;130.5966252;130.5966252
2020-01-01T03:00:00Z;130.301163933;130.8158136;130.238866106;130.8158136
2020-01-01T04:00:00Z;130.347519217;130.499765327;130.277718231;130.326935667
2020-01-01T05:00:00Z;130.39109687;130.430074083;130.215230358;130.258256839
2020-01-01T06:00:00Z;130.513857173;130.744982538;130.361055889;130.376071587
2020-01-01T07:00:00Z;130.349051559;130.65889431;130.349051559;130.525543018
2020-01-01T08:00:00Z;130.37204192;130.37204192;130.185760058;130.370674565
2020-01-01T09:00:00Z;130.719091647;130.762371155;130.555893266;130.555893266
2020-01-01T10:00:00Z;130.753093014;130.789099513;130.414362631;130.535772881
2020-01-01T11:00:00Z;130.975746895;131.567682732;130.720707099;130.740635916
2020-01-01T12:00:00Z;131.227351761;131.227351761;130.86970321;130.86970321
2020-01-01T13:00:00Z;132.016693703;132.016693703;131.375705305;131.404597671
2020-01-01T14:00:00Z;132.17433159;132.243278116;131.661171892;131.937826188
2020-01-01T15:00:00Z;132.055508601;132.336631219;132.051691372;132.148336934
2020-01-01T16:00:00Z;132.442412521;132.442412521;132.048441729;132.082220491
2020-01-01T17:00:00Z;132.437718838;132.750990214;132.383947453;132.69811544
2020-01-01T18:00:00Z;131.814035237;132.402896249;131.814035237;132.402896249
2020-01-01T19:00:00Z;131.994993657;131.994993657;131.780328326;131.952552213
2020-01-01T20:00:00Z;132.155638374;132.155638374;131.748628101;131.912601815
2020-01-01T21:00:00Z;131.913621235;132.235248749;131.913621235;132.093617442
2020-01-01T22:00:00Z;130.451086418;131.856932203;130.332531482;131.856932203
2020-01-01T23:00:00Z;130.656490958;130.656490958;130.10748301;130.539140732
2020-01-02T00:00:00Z;130.656718406;130.813015431;130.449611156;130.813015431
2020-01-02T01:00:00Z;130.180406206;130.692620593;130.180406206;130.692620593
2020-01-02T02:00:00Z;129.685504679;130.144838037;129.232620306;130.144838037
2020-01-02T03:00:00Z;129.213385124;129.746886539;129.213385124;129.705817864
2020-01-02T04:00:00Z;129.47696377;129.562394562;129.118290914;129.166816851
2020-01-02T05:00:00Z;129.455404557;129.662013824;129.202868992;129.522466544
2020-01-02T06:00:00Z;129.589743158;129.847928935;129.453317899;129.562052004
2020-01-02T07:00:00Z;129.441740459;129.539815938;129.186165896;129.336843487
2020-01-02T08:00:00Z;130.092028255;130.092028255;129.412438798;129.412438798
2020-01-02T09:00:00Z;129.878070366;130.152036182;129.844450959;130.152036182
2020-01-02T10:00:00Z;129.957073336;130.151814108;129.905363929;129.905363929
2020-01-02T11:00:00Z;129.889544327;129.971234263;129.801007374;129.948385284
2020-01-02T12:00:00Z;130.048495271;130.095911257;129.853990709;129.883149776
2020-01-02T13:00:00Z;129.616929934;130.244272162;129.588658072;130.094667736
2020-01-02T14:00:00Z;129.97350734;129.993338157;129.694879847;129.694879847
2020-01-02T15:00:00Z;130.07870271;130.07870271;129.885050717;129.885050717
2020-01-02T16:00:00Z;128.748575464;130.066839734;128.748575464;130.066839734
2020-01-02T17:00:00Z;127.743215285;128.226626156;127.319244669;128.226626156
2020-01-02T18:00:00Z;127.861967132;127.897084166;127.613522772;127.713706252
2020-01-02T19:00:00Z;127.913506543;127.925603306;127.631902642;127.925603306
2020-01-02T20:00:00Z;127.309749553;127.956944761;127.271110265;127.936150834
2020-01-02T21:00:00Z;128.001477717;128.001477717;127.378512406;127.381271314
2020-01-02T22:00:00Z;127.705211243;128.00362801;127.644822774;128.00362801
2020-01-02T23:00:00Z;127.42471839;127.686050554;127.041293655;127.041293655
2020-01-03T00:00:00Z;127.384490969;127.761653713;127.233384704;127.387597851
2020-01-03T01:00:00Z;126.683569059;127.483538008;126.683569059;127.483538008
2020-01-03T02:00:00Z;127.160897092;127.214042711;126.588178749;126.643573365
